date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2005-12-04,Vikings,Lions,20,3,11,0,0,17,23,242,32,103,345,2,14,0,0,0,11,94,0,2,0,12,30.683333333333337,19,5,13,0,0,17,35,118,23,105,223,1,8,0,1,1,3,30,0,3,0,11,29.316666666666663,21,16,0
2005-12-11,Rams,Vikings,16,2,12,0,0,16,25,146,29,113,259,0,0,2,0,2,5,60,0,4,0,16,26.183333333333337,20,7,15,0,2,26,45,229,29,108,337,1,6,1,5,6,9,60,0,4,0,17,33.81666666666667,13,27,1
2005-12-18,Steelers,Vikings,11,3,12,0,0,16,30,131,17,54,185,2,12,1,2,3,13,95,0,4,0,11,23.2,14,5,15,1,1,10,15,133,39,142,275,4,16,1,0,1,12,129,0,4,0,13,36.8,18,3,0
2005-12-25,Vikings,Ravens,18,3,9,0,0,25,36,220,14,42,262,3,28,1,0,1,6,50,0,4,0,12,26.9,23,10,15,1,1,24,34,279,32,88,367,2,10,1,1,2,7,35,0,3,0,11,33.1,23,30,1
2006-01-01,Bears,Vikings,22,5,10,0,0,27,40,247,18,149,396,0,0,0,0,0,7,45,0,4,0,12,26.533333333333335,13,6,16,2,4,14,23,97,33,154,251,3,24,0,0,0,8,45,0,2,0,10,33.46666666666667,10,34,1
2006-09-11,Vikings,Commanders,18,9,17,0,0,16,30,223,34,86,309,1,0,0,0,0,9,60,1,2,0,12,31.733333333333334,15,4,13,0,0,17,28,163,25,103,266,0,0,0,0,0,7,55,1,4,0,10,28.266666666666666,19,16,0
2006-09-17,Panthers,Vikings,17,2,15,3,3,20,32,225,33,140,365,5,34,0,1,1,9,54,1,4,0,13,37.666666666666664,14,3,14,0,0,17,33,164,27,107,271,2,17,1,0,1,6,32,1,3,0,13,29.916666666666668,13,16,1
2006-09-24,Bears,Vikings,11,5,15,0,1,21,31,189,24,97,286,1,5,2,0,2,8,83,0,2,2,12,31.65,19,5,15,1,1,23,41,274,21,51,325,1,4,0,2,2,10,82,0,2,0,11,28.35,19,16,0
2006-10-01,Vikings,Bills,14,2,13,2,2,25,44,267,16,63,330,0,0,0,2,2,12,78,1,2,0,13,24.05,20,5,14,0,0,23,32,203,33,95,298,3,21,0,0,0,15,104,2,3,0,11,35.95,12,17,1
2006-10-08,Lions,Vikings,18,5,13,0,0,26,34,201,30,135,336,0,0,2,1,3,5,40,1,3,4,13,36.65,13,3,12,1,2,23,42,201,11,16,217,5,24,1,3,4,7,50,2,3,0,12,23.35,17,26,1
2006-10-22,Vikings,Seahawks,14,5,14,0,1,16,25,157,30,175,332,4,29,0,0,0,5,45,1,2,2,14,32.31666666666667,16,6,16,0,1,21,42,237,21,53,290,4,24,1,2,3,5,30,0,1,0,13,27.683333333333337,31,13,0
2006-10-30,Patriots,Vikings,17,5,14,0,2,26,42,239,15,45,284,4,22,0,4,4,6,39,0,3,1,13,30.25,25,4,11,0,1,29,43,345,15,85,430,3,27,1,1,2,9,85,4,6,0,13,29.75,31,7,0
2006-11-05,Vikings,49ers,17,5,14,0,1,21,31,103,33,135,238,3,33,2,1,3,6,65,0,1,0,10,34.75,8,3,13,0,0,13,21,91,26,42,133,3,14,0,1,1,5,56,0,2,0,12,25.25,3,9,1
2006-11-12,Packers,Vikings,14,6,15,1,1,18,30,222,23,90,312,4,35,1,1,2,7,49,1,2,1,13,26.35,16,9,19,0,0,24,42,347,26,47,394,0,0,0,0,0,5,34,1,4,0,13,33.65,23,17,0
