date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2006-10-15,Eagles,Saints,20,3,10,0,0,19,32,226,19,99,325,3,21,1,1,2,8,67,2,2,0,11,25.95,22,8,16,0,0,27,38,275,30,98,373,0,0,0,2,2,7,64,2,3,0,12,34.05,24,27,1
2006-10-22,Eagles,Buccaneers,22,7,11,0,0,22,35,298,27,208,506,1,4,1,3,4,7,65,2,3,0,12,28.983333333333334,14,5,14,1,1,13,26,85,30,111,196,2,19,0,0,0,2,15,0,1,4,12,31.016666666666666,21,23,1
2006-10-29,Jaguars,Eagles,14,4,14,0,1,18,34,142,20,85,227,4,19,0,0,0,8,50,0,2,0,11,23.15,16,4,14,2,3,10,17,76,46,209,285,1,11,1,0,1,5,44,1,3,0,11,36.85,13,6,0
2006-11-12,Commanders,Eagles,18,6,15,1,1,12,26,255,34,145,400,1,2,0,0,0,7,65,0,2,2,11,30.483333333333334,16,3,13,1,2,16,32,132,31,146,278,0,0,0,1,1,8,70,0,1,0,11,29.516666666666666,3,27,1
2006-11-19,Titans,Eagles,22,10,23,1,3,32,61,267,30,123,390,0,0,2,1,3,8,64,1,2,0,12,36.36666666666667,13,4,13,0,1,8,22,84,32,209,293,3,17,1,0,1,2,15,1,3,3,16,23.633333333333333,31,13,0
2006-11-26,Eagles,Colts,20,5,10,1,1,23,29,151,25,149,300,2,10,2,1,3,3,15,3,4,0,10,29.7,27,7,10,0,0,14,20,183,41,237,420,0,0,0,1,1,4,30,5,5,2,12,30.3,21,45,1
2006-12-04,Panthers,Eagles,18,7,17,0,0,21,39,304,27,98,402,1,8,0,0,0,8,72,1,3,0,13,32.38333333333333,18,4,13,0,0,22,37,269,23,108,377,0,0,0,2,2,7,67,2,3,0,14,27.616666666666667,24,27,1
2006-12-10,Eagles,Commanders,14,4,10,0,0,15,23,164,22,99,263,0,0,1,0,1,2,20,2,2,2,10,22.233333333333334,20,7,16,0,0,16,28,205,40,210,415,2,17,0,2,2,11,68,0,3,0,9,37.766666666666666,21,19,0
2006-12-17,Eagles,Giants,21,4,10,1,1,19,28,221,30,161,382,2,16,1,1,2,12,103,3,3,2,11,31.816666666666663,22,2,9,2,2,28,40,270,22,88,358,1,12,2,2,4,5,55,2,5,0,13,28.183333333333337,36,22,0
2006-12-25,Eagles,Cowboys,20,9,16,1,1,15,23,222,42,204,426,2,16,0,1,1,6,45,1,3,0,11,37.1,16,5,11,1,3,14,29,118,19,83,201,3,24,1,2,3,2,10,1,2,0,8,22.9,23,7,0
